iter	Passed	Remaining
0	17	13913
1	34	13788
2	49	13186
3	65	12982
4	80	12739
5	95	12614
6	110	12479
7	125	12432
8	141	12397
9	155	12281
10	169	12191
11	184	12119
12	199	12064
13	213	12004
14	228	11965
15	243	11948
16	258	11894
17	272	11843
18	286	11767
19	300	11731
20	314	11671
21	328	11618
22	342	11575
23	356	11531
24	370	11477
25	383	11430
26	397	11375
27	412	11372
28	428	11382
29	443	11389
30	459	11390
31	475	11402
32	491	11431
33	508	11447
34	524	11454
35	542	11518
36	559	11536
37	575	11537
38	591	11540
39	605	11512
40	621	11500
41	637	11512
42	654	11522
43	670	11518
44	686	11519
45	704	11540
46	722	11574
47	740	11597
48	756	11599
49	773	11596
50	787	11571
51	802	11550
52	816	11508
53	830	11475
54	844	11436
55	858	11400
56	874	11395
57	891	11406
58	907	11401
59	924	11407
60	938	11364
61	954	11364
62	971	11361
63	987	11361
64	1004	11358
65	1021	11358
66	1035	11333
67	1049	11295
68	1065	11290
69	1079	11256
70	1093	11229
71	1108	11206
72	1121	11173
73	1135	11142
74	1149	11114
75	1163	11088
76	1178	11066
77	1195	11063
78	1212	11068
79	1230	11073
80	1249	11088
81	1267	11097
82	1284	11095
83	1302	11105
84	1320	11104
85	1338	11114
86	1356	11115
87	1370	11087
88	1383	11053
89	1397	11022
90	1411	10998
91	1425	10970
92	1439	10945
93	1455	10930
94	1472	10925
95	1489	10923
96	1505	10912
97	1522	10909
98	1539	10900
99	1555	10887
100	1571	10875
101	1590	10883
102	1606	10870
103	1620	10844
104	1635	10823
105	1647	10785
106	1660	10757
107	1675	10736
108	1689	10712
109	1703	10685
110	1718	10665
111	1732	10642
112	1743	10602
113	1756	10568
114	1771	10554
115	1786	10533
116	1800	10510
117	1814	10484
118	1826	10454
119	1840	10430
120	1854	10407
121	1867	10379
122	1881	10354
123	1894	10330
124	1912	10327
125	1926	10304
126	1938	10272
127	1950	10238
128	1961	10203
129	1972	10167
130	1985	10137
131	1996	10101
132	2007	10068
133	2019	10038
134	2030	10003
135	2042	9970
136	2053	9936
137	2064	9902
138	2075	9871
139	2087	9840
140	2099	9814
141	2112	9790
142	2126	9769
143	2139	9748
144	2153	9726
145	2166	9705
146	2179	9683
147	2193	9665
148	2207	9643
149	2220	9620
150	2234	9601
151	2247	9582
152	2260	9561
153	2272	9533
154	2284	9505
155	2295	9474
156	2307	9452
157	2320	9430
158	2332	9405
159	2345	9381
160	2357	9355
161	2368	9326
162	2380	9303
163	2391	9275
164	2402	9247
165	2413	9219
166	2424	9191
167	2436	9164
168	2447	9139
169	2459	9114
170	2470	9087
171	2481	9061
172	2492	9034
173	2504	9009
174	2515	8982
175	2529	8966
176	2542	8950
177	2556	8934
178	2570	8917
179	2584	8900
180	2596	8881
181	2610	8864
182	2625	8852
183	2639	8835
184	2652	8818
185	2666	8801
186	2679	8783
187	2691	8760
188	2702	8735
189	2713	8712
190	2725	8689
191	2736	8665
192	2747	8642
193	2759	8618
194	2770	8594
195	2782	8573
196	2793	8550
197	2804	8528
198	2816	8505
199	2828	8486
200	2841	8468
201	2852	8445
202	2865	8428
203	2879	8412
204	2892	8395
205	2905	8378
206	2918	8360
207	2933	8349
208	2946	8332
209	2960	8316
210	2973	8300
211	2986	8283
212	3000	8268
213	3014	8254
214	3026	8235
215	3037	8213
216	3049	8191
217	3060	8169
218	3071	8147
219	3082	8125
220	3093	8103
221	3104	8081
222	3115	8060
223	3126	8038
224	3137	8019
225	3150	8000
226	3161	7979
227	3173	7961
228	3184	7940
229	3197	7924
230	3210	7908
231	3223	7893
232	3237	7877
233	3250	7861
234	3268	7858
235	3282	7843
236	3295	7829
237	3308	7813
238	3322	7798
239	3335	7783
240	3348	7767
241	3361	7750
242	3374	7734
243	3385	7714
244	3396	7694
245	3407	7674
246	3418	7654
247	3429	7634
248	3440	7614
249	3451	7594
250	3463	7575
251	3474	7556
252	3485	7536
253	3496	7516
254	3507	7496
255	3518	7476
256	3530	7459
257	3541	7440
258	3553	7421
259	3563	7401
260	3575	7383
261	3587	7365
262	3598	7348
263	3612	7334
264	3625	7320
265	3639	7306
266	3653	7292
267	3667	7280
268	3681	7267
269	3695	7253
270	3708	7239
271	3722	7225
272	3735	7211
273	3749	7198
274	3762	7183
275	3773	7164
276	3784	7146
277	3796	7128
278	3807	7110
279	3818	7091
280	3829	7073
281	3840	7055
282	3852	7037
283	3864	7021
284	3877	7007
285	3891	6994
286	3905	6980
287	3918	6966
288	3931	6951
289	3944	6937
290	3957	6922
291	3972	6910
292	3985	6896
293	3999	6883
294	4012	6869
295	4025	6854
296	4037	6837
297	4048	6819
298	4059	6801
299	4070	6784
300	4081	6766
301	4092	6748
302	4103	6731
303	4117	6718
304	4131	6704
305	4144	6690
306	4157	6676
307	4170	6662
308	4184	6649
309	4198	6636
310	4212	6623
311	4225	6609
312	4239	6595
313	4252	6582
314	4266	6569
315	4278	6553
316	4290	6537
317	4301	6519
318	4312	6502
319	4324	6486
320	4335	6469
321	4346	6452
322	4358	6436
323	4370	6421
324	4382	6405
325	4393	6387
326	4404	6370
327	4416	6355
328	4429	6341
329	4441	6325
330	4452	6309
331	4463	6292
332	4475	6276
333	4486	6259
334	4497	6242
335	4509	6227
336	4520	6210
337	4534	6197
338	4547	6184
339	4561	6171
340	4574	6157
341	4587	6143
342	4601	6130
343	4614	6117
344	4628	6104
345	4641	6090
346	4654	6076
347	4667	6062
348	4681	6049
349	4693	6035
350	4705	6019
351	4717	6004
352	4729	5988
353	4740	5972
354	4751	5956
355	4762	5939
356	4774	5924
357	4785	5908
358	4796	5891
359	4807	5875
360	4820	5861
361	4831	5845
362	4842	5829
363	4853	5813
364	4866	5799
365	4879	5786
366	4892	5772
367	4905	5759
368	4919	5745
369	4932	5732
370	4946	5720
371	4961	5707
372	4975	5695
373	4988	5682
374	5001	5668
375	5014	5654
376	5027	5641
377	5038	5625
378	5049	5609
379	5061	5593
380	5071	5577
381	5083	5562
382	5094	5546
383	5105	5530
384	5118	5517
385	5131	5503
386	5144	5490
387	5158	5477
388	5171	5464
389	5184	5450
390	5198	5437
391	5211	5424
392	5224	5410
393	5238	5398
394	5252	5385
395	5265	5372
396	5278	5358
397	5289	5342
398	5300	5326
399	5311	5311
400	5322	5295
401	5333	5280
402	5344	5265
403	5356	5249
404	5367	5234
405	5378	5219
406	5389	5204
407	5401	5189
408	5411	5173
409	5423	5158
410	5434	5143
411	5445	5127
412	5458	5114
413	5471	5101
414	5485	5088
415	5499	5076
416	5513	5063
417	5526	5050
418	5539	5037
419	5553	5024
420	5566	5011
421	5580	4998
422	5593	4985
423	5606	4971
424	5617	4956
425	5629	4942
426	5640	4927
427	5652	4912
428	5663	4897
429	5674	4882
430	5686	4868
431	5697	4853
432	5708	4838
433	5720	4823
434	5731	4809
435	5742	4794
436	5755	4780
437	5766	4765
438	5777	4751
439	5788	4736
440	5800	4721
441	5811	4707
442	5822	4692
443	5833	4677
444	5845	4663
445	5856	4648
446	5867	4633
447	5878	4619
448	5890	4604
449	5902	4591
450	5913	4576
451	5925	4561
452	5936	4547
453	5947	4532
454	5959	4519
455	5970	4504
456	5981	4489
457	5993	4475
458	6005	4461
459	6016	4446
460	6029	4433
461	6041	4420
462	6053	4405
463	6064	4391
464	6075	4376
465	6086	4362
466	6098	4348
467	6109	4333
468	6120	4319
469	6131	4305
470	6143	4291
471	6154	4276
472	6166	4262
473	6178	4249
474	6189	4234
475	6200	4220
476	6211	4206
477	6223	4192
478	6234	4178
479	6246	4164
480	6256	4149
481	6267	4135
482	6280	4121
483	6291	4107
484	6302	4093
485	6314	4079
486	6325	4065
487	6336	4051
488	6347	4036
489	6359	4023
490	6371	4009
491	6382	3995
492	6393	3981
493	6404	3967
494	6415	3953
495	6426	3938
496	6437	3924
497	6448	3910
498	6459	3896
499	6470	3882
500	6482	3868
501	6493	3854
502	6505	3841
503	6517	3827
504	6528	3813
505	6540	3799
506	6551	3785
507	6562	3772
508	6573	3758
509	6585	3744
510	6596	3730
511	6607	3716
512	6618	3702
513	6629	3688
514	6640	3674
515	6651	3660
516	6662	3646
517	6673	3632
518	6684	3619
519	6695	3605
520	6706	3591
521	6717	3577
522	6728	3563
523	6739	3550
524	6750	3536
525	6762	3522
526	6773	3508
527	6784	3495
528	6795	3481
529	6807	3468
530	6819	3454
531	6830	3441
532	6842	3427
533	6853	3413
534	6864	3400
535	6875	3386
536	6886	3372
537	6897	3358
538	6908	3345
539	6919	3331
540	6930	3317
541	6941	3304
542	6953	3290
543	6965	3277
544	6976	3264
545	6988	3250
546	6999	3237
547	7010	3223
548	7021	3210
549	7033	3196
550	7044	3183
551	7055	3169
552	7066	3156
553	7077	3142
554	7088	3129
555	7100	3115
556	7110	3102
557	7122	3088
558	7133	3075
559	7144	3061
560	7156	3048
561	7168	3035
562	7179	3022
563	7190	3008
564	7201	2995
565	7213	2982
566	7225	2969
567	7236	2955
568	7247	2942
569	7258	2928
570	7269	2915
571	7280	2901
572	7291	2888
573	7302	2875
574	7313	2861
575	7325	2848
576	7337	2835
577	7348	2822
578	7360	2809
579	7372	2796
580	7383	2782
581	7394	2769
582	7405	2756
583	7416	2743
584	7427	2729
585	7438	2716
586	7449	2703
587	7460	2689
588	7471	2676
589	7482	2663
590	7493	2650
591	7504	2636
592	7515	2623
593	7527	2610
594	7537	2597
595	7550	2584
596	7561	2571
597	7573	2558
598	7584	2545
599	7595	2531
600	7606	2518
601	7617	2505
602	7628	2492
603	7639	2479
604	7650	2466
605	7661	2452
606	7672	2439
607	7683	2426
608	7695	2413
609	7706	2400
610	7717	2387
611	7729	2374
612	7740	2361
613	7752	2348
614	7763	2335
615	7774	2322
616	7785	2309
617	7796	2295
618	7807	2282
619	7818	2269
620	7829	2256
621	7840	2243
622	7852	2231
623	7864	2218
624	7875	2205
625	7887	2192
626	7899	2179
627	7910	2166
628	7922	2153
629	7933	2140
630	7945	2127
631	7956	2115
632	7968	2102
633	7979	2089
634	7990	2076
635	8002	2063
636	8013	2050
637	8024	2037
638	8036	2024
639	8048	2012
640	8059	1999
641	8071	1986
642	8082	1973
643	8094	1960
644	8105	1947
645	8116	1934
646	8127	1921
647	8138	1909
648	8149	1896
649	8160	1883
650	8171	1870
651	8183	1857
652	8193	1844
653	8206	1831
654	8217	1819
655	8228	1806
656	8239	1793
657	8251	1780
658	8262	1767
659	8273	1754
660	8284	1742
661	8295	1729
662	8306	1716
663	8317	1703
664	8328	1690
665	8340	1678
666	8351	1665
667	8362	1652
668	8374	1639
669	8385	1627
670	8397	1614
671	8408	1601
672	8418	1588
673	8430	1575
674	8441	1563
675	8452	1550
676	8463	1537
677	8474	1524
678	8486	1512
679	8497	1499
680	8508	1486
681	8519	1474
682	8530	1461
683	8541	1448
684	8552	1435
685	8563	1423
686	8575	1410
687	8586	1397
688	8596	1384
689	8608	1372
690	8619	1359
691	8630	1346
692	8641	1334
693	8652	1321
694	8663	1308
695	8674	1296
696	8685	1283
697	8697	1270
698	8708	1258
699	8719	1245
700	8731	1233
701	8742	1220
702	8753	1207
703	8764	1195
704	8775	1182
705	8786	1169
706	8798	1157
707	8809	1144
708	8820	1132
709	8831	1119
710	8842	1106
711	8853	1094
712	8864	1081
713	8875	1069
714	8886	1056
715	8899	1044
716	8911	1031
717	8922	1018
718	8933	1006
719	8944	993
720	8955	981
721	8966	968
722	8977	956
723	8989	943
724	9000	931
725	9012	918
726	9023	906
